date_added,date_modified,id,id_category,id_item,item_name,item_uuid,price_buy,price_sell
1751928392,1759579753,1,21,1774,JS-300,b1c89d89-d408-4998-9b17-76986d78a9dd,200000,296273
1751928392,1759579753,2,21,1775,JS-400,f1763688-a3b6-496e-8d62-3e40e2098661,125000,471788
1751928392,1759579753,3,21,1770,JS-500,53e75236-5a91-4d75-8c23-373e44daa69c,150000,3787500
1751928392,1759579753,4,19,1759,Avalanche,a52245d7-a95e-46d5-a933-32267371e156,125000,217227
1751928392,1759579753,5,19,954,Glacier,5748cdbc-5a26-477a-a4ad-b20a593bde59,200000,200158
1751928392,1759579753,6,19,1767,Blizzard,2c93a027-3b9a-4c8b-b5b0-b03676b35e2d,150000,275900
1751928392,1759579753,7,23,1748,FR-66,0baaf20a-460e-4668-84f2-d09f9d31b492,100000,216667
1751928392,1759579753,8,23,1750,FR-76,be9729fb-c973-4c49-93cb-6a6f7c877408,262500,285000
1751928392,1759579753,9,23,158,FR-86,5fa67088-9677-40c4-b552-46c16bd7162e,13600000,20125000
1751928392,1759579753,10,22,976,XL-1,fce50a6d-690e-4b2d-9104-f3743387e1f0,150000,344933
1751928392,1759579754,11,23,159,FullBlock,6a4d4eb2-dacd-4b04-b17f-e7a02ea7e744,,220333
1751928392,1755638300,12,18,214,C54 SMG,5a8e3a45-74fa-42db-839b-ad794f1bd890,,75000
1751928392,1759579753,13,18,1237,Custodian SMG,00335844-8889-4c40-b4c5-e4d8496838cf,,137000
1751928392,1759579753,14,18,2321,S71 Rifle,39086302-d8f9-457d-a746-255c511ea6cf,,375571
1751928392,1759579754,15,18,552,R97 Shotgun,4577e319-8762-4247-8050-882fabe0ea10,,250000
1751928392,1759579753,16,18,2545,Coda &quot;Nighthawk&quot; Pistol,,,60000
1751928392,1759579753,17,32,47,NDB-30 Repeater,2f9fad1d-f591-4e69-ae64-af5ba0a883f7,100000,185205
1751928392,1759579754,18,17,4044,"Sion ""Tweaker"" Compensator 2",,500000,5469800
1751928392,1759579753,19,18,2278,P8-AR Assault Rifle,,,1034290
1751928392,1759579753,20,35,4332,TMSB-5 Ball Turret,4b2e4ce4-ac79-4923-bfdd-ccce02129b27,3000000,712500
1751928392,1759579753,21,3,2283,Death's Head Helmet,297a6522-c957-4e52-9040-aa3049ebcd7a,,171250
1751928392,1752095910,22,32,13,AD5B Ballistic Gatling,f52975b5-d621-4c08-9dcc-3c4bd8170383,,150000
1751928392,1759579753,23,32,1440,Attrition-5 Repeater,2c9b3880-a108-4746-a6cd-7e2b04feee36,,97143
1751928392,1759579753,24,22,1347,VK-00,995c2de5-f7e6-4646-83e3-4627ba5a5865,200000,239545
1751928392,1759579753,25,23,2034,Mirage,94807046-b89e-422d-8bbc-f914b1cbc08d,,163688
1751928392,1759579753,26,19,933,NightFall,acb949b6-488a-4d10-b0f3-6597ef22925e,,253375
1751928392,1759579753,27,32,1915,NDB-28 Repeater,2365f40c-fbd3-4859-ad80-f5cfbc305c83,200000,187353
1751928392,1759579754,28,32,46,NDB-26 Repeater,fecbf518-e3e5-4e58-905a-729a02e86265,150000,188000
1751928392,1759579753,29,32,1810,Absolution Distortion Scattergun,2e0a3446-23e2-447b-8f1c-2b01516ca396,450000,477714
1751928392,1759579753,30,18,2303,A03 Sniper Rifle,6b1fb5e8-f9ec-49bc-befb-c81b7c08c5ea,,162500
1751928392,1759579753,31,18,3349,Scourge Railgun,699db405-4ca1-4993-ba58-a9f90001ae6b,,888929
1751928392,1759579753,32,18,3343,Arrowhead &quot;Lamplighter&quot; Sniper Rifle,,,2000000
1751928392,1759579753,33,21,1928,ExoGen,d49cced4-ee82-4a98-8690-93ac432c891a,,30000
1751928392,1754601519,34,19,2150,Boreal,62f0d8cc-ed06-47d6-9522-bd3950faa19d,,50000
1751928392,1759579753,35,32,4184,Ardor-3 Salvaged Repeater,47f6c5d4-32f6-4813-9a34-a55d3c2d8aac,200000,172222
1751928392,1759579753,36,24,2220,TCS-4 Undersuit Crusader Edition,883d13c8-cd3c-4ada-9851-a2ec83d39bcd,,383333
1751928392,1759579753,37,18,2224,FS-9 LMG,6f1674b1-fb58-4661-9114-f418862751d2,,125000
1751928392,1759579754,38,3,3454,Parasite Replica Helmet,afae5b5c-2b3c-48e2-90eb-e9ad2447656a,,183333
1751928392,1759079706,39,18,2490,"GP-33 MOD ""Umber"" Grenade Launcher",ae624a69-7d45-430e-9d58-134a4f04f85b,,131667
1751928392,1759579753,40,18,2294,"Pyro RYT ""Black Cherry"" Multi-Tool",,,428333
1751928392,1759579754,41,17,4269,"Sion ""Scorched"" Compensator 2",10831736-4bdf-4465-b517-94281261d317,,55000
1751928392,1759079706,42,17,3767,OT8-RF (8x Telescopic),278fafef-c4e3-44d5-9b85-a225f6e97cb2,,165000
1751928392,1759579754,43,17,2307,Tau Plus (4x Telescopic),845dc675-ab4c-4bd5-8b14-11e9c29f3399,,45000
1751928392,1759579753,44,18,2322,S71 &quot;Bullseye&quot; Rifle,113bff56-11fa-4951-8b32-8a5590f3c830,,189800
1751928392,1759579753,45,18,2374,"A03 ""Red Alert"" Sniper Rifle",89a070b3-4abc-466e-915c-55a6bd2fd441,,126250
1751928392,1759579753,46,18,2567,Arrowhead &quot;Voyager&quot; Sniper Rifle,,,184000
1751928392,1759579753,47,18,3489,Karna Valor Rifle,,,66428
1751928392,1759579753,48,18,2424,Karna &quot;Fate&quot; Rifle,,,325000
1751928392,1759579753,49,18,2333,Custodian &quot;CitizenCon 2947&quot; SMG,,,100000
1751928392,1759579753,50,70,1745,Colossus Bomb,2b8a744d-c0a0-4f92-b0e6-bf4ae077cc11,,250000
1751928392,1759579753,51,18,2226,"A03 ""Canuto"" Sniper Rifle",1aad8334-8d0a-4dd1-bcca-bd195bc013a7,,412500
1751928392,1759579753,52,18,1673,Karna Rifle,3825f6fa-bfcd-4ced-b207-47c2643a2258,,1008330
1751928392,1759579754,53,18,4384,Parallax Energy Assault Rifle,,,1855620
1751928392,1759579753,54,22,1909,TS-2,8ea47c7e-f70f-469d-abc2-911cc5013854,3000000,4865600
1751928392,1759079707,55,11,2482,Prestige MISC Racing Jacket,582d09b8-76df-4e87-8a57-f60a1fd0ec49,,62500
1751928392,1759579754,56,23,2115,ForceWall,b66a64ca-9c53-40e7-8618-3b66b10a021c,,47500
1751928392,1759579754,57,21,967,Regulus,688aab9c-bc62-4774-be7d-065dee7e2187,,80000
1751928392,1759579753,58,18,2722,Animus Missile Launcher,3666c8ac-d552-4006-8c47-7e8f773b11a4,,853333
1751928392,1759579754,59,21,2037,Maelstrom,662e4a88-d893-46fd-9fcc-e33e4b783fae,,60700
1751928392,1759579754,60,19,1766,Polar,9afd1cd3-ce6b-4b0a-abdd-cd7d479ec360,,75000
1751928392,1759579753,61,19,927,SnowBlind,f50cc3fd-dd83-4aec-b74a-270428f22797,150000,200529
1751928392,1759579753,62,21,1758,Bolide,22ca3ca2-1bdc-48a7-8689-a0f8259a5441,,75000
1751928392,1759579753,63,21,141,DynaFlux,0b758584-4cc6-4306-85dd-07e1b81d6852,,50000
1751928392,1759579753,64,21,970,Eclipse,277e2f9c-d899-442d-a999-23368b3bdb6c,,301923
1751928392,1759579753,65,21,1771,Fierell Cascade,50e95028-4764-416c-9380-7d9d52d8d82b,,52917
1751928392,1759579754,66,21,935,Fulgur,4364d2ea-3516-474b-8f45-ae146c120ee7,,193600
1751928392,1759579754,67,21,944,GammaMax,7efda460-54a9-4447-b74d-eaa25ea882cb,,70000
